Borough,District,School,School Name,School Category,Program,Language,Language (Translated),General/Special Education,Special Education Model,School Address,Address,Borough_check,State,Zipcode,schools_language
Manhattan,2,02M347,The 47 American Sign Language & English Lower School,K-8,Dual Language,Other,(American) Sign Language,Special Education,ICT,"223 EAST 23 STREET, MANHATTAN, NY, 10010",223 EAST 23 STREET,Manhattan,NY,10010,1
Brooklyn,20,20K030,P.S./I.S. 30 Mary White Ovington,K-8,Dual Language,Arabic,العربية,General Education,Not Applicable,"7002 4TH AVENUE, BROOKLYN, NY, 11209",7002 4TH AVENUE,Brooklyn,NY,11209,2
Brooklyn,20,20K445,New Utrecht High School,High school,Transitional Bilingual Education,Arabic,العربية,General Education,Not Applicable,"1601 80 STREET, BROOKLYN, NY, 11214",1601 80 STREET,Brooklyn,NY,11214,2
Bronx,11,11X127,J.H.S. 127 The Castle Hill,Junior High-Intermediate-Middle,Transitional Bilingual Education,Indo-European,বাংলা,General Education,Not Applicable,"1551 CASTLE HILL AVENUE, BRONX, NY, 10462",1551 CASTLE HILL AVENUE,Bronx,NY,10462,1
Brooklyn,19,19K159,P.S. 159 Isaac Pitkin,Elementary,Transitional Bilingual Education,Indo-European,বাংলা,General Education,Not Applicable,"2781 PITKIN AVENUE, BROOKLYN, NY, 11208",2781 PITKIN AVENUE,Brooklyn,NY,11208,2
Brooklyn,19,19K214,P.S. 214 Michael Friedsam,Elementary,Dual Language,Indo-European,বাংলা,General Education,Not Applicable,"2944 PITKIN AVENUE, BROOKLYN, NY, 11208",2944 PITKIN AVENUE,Brooklyn,NY,11208,2
Queens,27,27Q480,John Adams High School,High school,Transitional Bilingual Education,Indo-European,বাংলা,General Education,Not Applicable,"101-01 ROCKAWAY BOULEVARD, QUEENS, NY, 11417",101-01 ROCKAWAY BOULEVARD,Queens,NY,11417,1
Queens,28,28Q505,Hillcrest High School,High school,Transitional Bilingual Education,Indo-European,বাংলা,General Education,Not Applicable,"160-05 HIGHLAND AVENUE, QUEENS, NY, 11432",160-05 HIGHLAND AVENUE,Queens,NY,11432,1
Manhattan,1,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"166 ESSEX STREET, MANHATTAN, NY, 10002",166 ESSEX STREET,Manhattan,NY,10002,5
Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,中文,General Education,Not Applicable,"327 CHERRY STREET, MANHATTAN, NY, 10002",327 CHERRY STREET,Manhattan,NY,10002,5
Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,中文,Special Education,ICT,"327 CHERRY STREET, MANHATTAN, NY, 10002",327 CHERRY STREET,Manhattan,NY,10002,5
Manhattan,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,Dual Language,Chinese,中文,General Education,Not Applicable,"145 STANTON STREET, MANHATTAN, NY, 10002",145 STANTON STREET,Manhattan,NY,10002,5
Manhattan,1,01M515,Lower East Side Preparatory High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"145 STANTON STREET, MANHATTAN, NY, 10002",145 STANTON STREET,Manhattan,NY,10002,5
Manhattan,2,02M001,P.S. 001 Alfred E. Smith,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"8 HENRY STREET, MANHATTAN, NY, 10038",8 HENRY STREET,Manhattan,NY,10038,5
Manhattan,2,02M042,P.S. 042 Benjamin Altman,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,ICT,"71 HESTER STREET, MANHATTAN, NY, 10002",71 HESTER STREET,Manhattan,NY,10002,5
Manhattan,2,02M130,P.S. 130 Hernando De Soto,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,12:1:1,"143 BAXTER STREET, MANHATTAN, NY, 10013",143 BAXTER STREET,Manhattan,NY,10013,5
Manhattan,2,02M131,M.S. 131,Junior High-Intermediate-Middle,Dual Language,Chinese,中文,Special Education,ICT,"100 HESTER STREET, MANHATTAN, NY, 10002",100 HESTER STREET,Manhattan,NY,10002,5
Manhattan,2,02M545,High School for Dual Language and Asian Studies,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"350 GRAND STREET, MANHATTAN, NY, 10002",350 GRAND STREET,Manhattan,NY,10002,5
Brooklyn,14,14K250,P.S. 250 George H. Lindsay,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"108 MONTROSE AVENUE, BROOKLYN, NY, 11206",108 MONTROSE AVENUE,Brooklyn,NY,11206,1
Brooklyn,15,15K094,P.S. 094 The Henry Longfellow,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"5010 6 AVENUE, BROOKLYN, NY, 11220",5010 6 AVENUE,Brooklyn,NY,11220,6
Brooklyn,15,15K094,P.S. 094 The Henry Longfellow,Elementary,Dual Language,Chinese,中文,Special Education,12:1:1,"5010 6 AVENUE, BROOKLYN, NY, 11220",5010 6 AVENUE,Brooklyn,NY,11220,6
Brooklyn,15,15K169,P.S. 169 Sunset Park,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"4305 7 AVENUE, BROOKLYN, NY, 11232",4305 7 AVENUE,Brooklyn,NY,11232,6
Brooklyn,15,15K169,P.S. 169 Sunset Park,Elementary,Dual Language,Chinese,中文,Special Education,ICT,"4305 7 AVENUE, BROOKLYN, NY, 11232",4305 7 AVENUE,Brooklyn,NY,11232,6
Brooklyn,15,15K896,The School of Creativity and Innovation,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"736 48TH STREET, BROOKLYN, NY, 11220",736 48TH STREET,Brooklyn,NY,11220,6
Brooklyn,15,15K896,The School of Creativity and Innovation,Elementary,Dual Language,Chinese,中文,Special Education,ICT,"736 48TH STREET, BROOKLYN, NY, 11220",736 48TH STREET,Brooklyn,NY,11220,6
Brooklyn,20,20K069,P.S. 69 Vincent D. Grippo School,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"6302 9TH AVENUE, BROOKLYN, NY, 11220",6302 9TH AVENUE,Brooklyn,NY,11220,20
Brooklyn,20,20K069,P.S. 69 Vincent D. Grippo School,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,ICT,"6302 9TH AVENUE, BROOKLYN, NY, 11220",6302 9TH AVENUE,Brooklyn,NY,11220,20
Brooklyn,20,20K105,P.S. 105 The Blythebourne,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"1031 59 STREET, BROOKLYN, NY, 11219",1031 59 STREET,Brooklyn,NY,11219,20
Brooklyn,20,20K105,P.S. 105 The Blythebourne,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,ICT,"1031 59 STREET, BROOKLYN, NY, 11219",1031 59 STREET,Brooklyn,NY,11219,20
Brooklyn,20,20K127,P.S. 127 McKinley Park,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"7805 7 AVENUE, BROOKLYN, NY, 11228",7805 7 AVENUE,Brooklyn,NY,11228,20
Brooklyn,20,20K160,P.S. 160 William T. Sampson,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"5105 FORT HAMILTON PARKWAY, BROOKLYN, NY, 11219",5105 FORT HAMILTON PARKWAY,Brooklyn,NY,11219,20
Brooklyn,20,20K160,P.S. 160 William T. Sampson,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,ICT,"5105 FORT HAMILTON PARKWAY, BROOKLYN, NY, 11219",5105 FORT HAMILTON PARKWAY,Brooklyn,NY,11219,20
Brooklyn,20,20K170,Ralph A. Fabrizio School,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"619 72 STREET, BROOKLYN, NY, 11209",619 72 STREET,Brooklyn,NY,11209,20
Brooklyn,20,20K204,P.S. 204 Vince Lombardi,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"8101 15 AVENUE, BROOKLYN, NY, 11228",8101 15 AVENUE,Brooklyn,NY,11228,20
Brooklyn,20,20K204,P.S. 204 Vince Lombardi,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"8101 15 AVENUE, BROOKLYN, NY, 11228",8101 15 AVENUE,Brooklyn,NY,11228,20
Brooklyn,20,20K205,P.S. 205 Clarion,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"6701 20 AVENUE, BROOKLYN, NY, 11204",6701 20 AVENUE,Brooklyn,NY,11204,20
Brooklyn,20,20K220,J.H.S. 220 John J. Pershing,Junior High-Intermediate-Middle,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"4812 9TH AVENUE, BROOKLYN, NY, 11220",4812 9TH AVENUE,Brooklyn,NY,11220,20
Brooklyn,20,20K229,P.S. 229 Dyker,K-8,Dual Language,Chinese,中文,General Education,Not Applicable,"1400 BENSON AVENUE, BROOKLYN, NY, 11228",1400 BENSON AVENUE,Brooklyn,NY,11228,20
Brooklyn,20,20K259,J.H.S. 259 William McKinley,Junior High-Intermediate-Middle,Dual Language,Chinese,中文,General Education,Not Applicable,"7305 FT HAMILTON PARKWAY, BROOKLYN, NY, 11228",7305 FT HAMILTON PARKWAY,Brooklyn,NY,11228,20
Brooklyn,20,20K310,The School For Future Leaders,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"942 62 STREET, BROOKLYN, NY, 11219",942 62 STREET,Brooklyn,NY,11219,20
Brooklyn,20,20K331,The Detective WenJian Liu School of Civics and Entrepreneurship,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,12:1:1,"6312 13 AVENUE, BROOKLYN, NY, 11219",6312 13 AVENUE,Brooklyn,NY,11219,20
Brooklyn,20,20K445,New Utrecht High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"1601 80 STREET, BROOKLYN, NY, 11214",1601 80 STREET,Brooklyn,NY,11214,20
Brooklyn,20,20K490,Fort Hamilton High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"8301 SHORE ROAD, BROOKLYN, NY, 11209",8301 SHORE ROAD,Brooklyn,NY,11209,20
Brooklyn,20,20K505,Franklin Delano Roosevelt High School,High school,Dual Language,Chinese,中文,General Education,Not Applicable,"5800 20 AVENUE, BROOKLYN, NY, 11204",5800 20 AVENUE,Brooklyn,NY,11204,20
