Name,State,County,School_district,Total,pop_spanish,pop_french,pop_slavic,pop_arabic,pop_chinese,pop_korean,pop_unspecified,Eng_only,Eng_only_per,Dual_language,Dual_language_per,Eng_limited_ability,Eng_limited_ability_per,object_id,TARGET_FID,Geographic_Identifier___FIPS_Code,Shape_Length,Shape_Area,pop_indo_european,pop_asian,sch_arabic,sch_chinese,sch_french,sch_indo_european,sch_korean,sch_other,sch_slavic,sch_spanish,sch_asian,sch_unspecified,largest_language,largest_value,largest_per,prop_spanish,prop_french,prop_indo_european,prop_slavic,prop_arabic,prop_chinese,prop_korean,prop_asian,prop_unspecified,most_school,most_value,prop_lower_language_nan,prop_lower_value_nan,prop_major_language_value
Census Tract 1,New York,Bronx County,7,3538,428,0,0,0,31,0,0,3053,86.3,193,5.5,292,8.3,1,69982,36005000100,26308.169404798533,14976220.18495358,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,428,12.1,30.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,30.57,30.57
Census Tract 2,New York,Bronx County,8,4916,2623,0,0,233,0,0,156,1904,38.7,1789,36.4,1223,24.9,2,69983,36005000200,89484.19290314468,42021479.544509426,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,2623,53.36,374.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,spanish,374.71,374.71
Census Tract 4,New York,Bronx County,8,6225,2588,10,12,1,0,0,0,3587,57.6,1397,22.4,1241,19.9,3,69984,36005000400,89484.19290314468,42021479.544509426,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,2588,41.57,369.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,spanish,369.71,369.71
Census Tract 16,New York,Bronx County,8,5779,2195,110,33,0,0,0,416,2864,49.6,1817,31.4,1098,19.0,4,69985,36005001600,89484.19290314468,42021479.544509426,114,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,2195,37.98,313.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,spanish,313.57,313.57
Census Tract 19.01,New York,Bronx County,7,2193,671,180,14,0,0,0,45,1283,58.5,745,34.0,165,7.5,5,69986,36005001901,26308.169404798533,14976220.18495358,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,671,30.6,47.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,47.93,47.93
Census Tract 19.02,New York,Bronx County,7,1857,750,4,0,16,0,0,6,1081,58.2,429,23.1,347,18.7,6,69987,36005001902,26308.169404798533,14976220.18495358,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,750,40.39,53.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,53.57,53.57
Census Tract 19.03,New York,Bronx County,8,0,0,0,0,0,0,0,0,0,,0,,0,,7,69988,36005001903,89484.19290314468,42021479.544509426,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,,,0.0
Census Tract 19.04,New York,Bronx County,7,0,0,0,0,0,0,0,0,0,,0,,0,,8,69989,36005001904,26308.169404798533,14976220.18495358,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,,,0.0
Census Tract 20.01,New York,Bronx County,8,4096,1327,0,0,0,0,0,26,2743,67.0,779,19.0,574,14.0,9,69990,36005002001,89484.19290314468,42021479.544509426,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,1327,32.4,189.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,spanish,189.57,189.57
Census Tract 20.02,New York,Bronx County,8,3468,1810,0,0,0,0,0,121,1537,44.3,900,26.0,1031,29.7,10,69991,36005002002,89484.19290314468,42021479.544509426,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,1810,52.19,258.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,spanish,258.57,258.57
Census Tract 23,New York,Bronx County,7,4300,2031,61,0,0,0,0,164,2044,47.5,1158,26.9,1098,25.5,11,69992,36005002300,26308.169404798533,14976220.18495358,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,2031,47.23,145.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,145.07,145.07
Census Tract 24,New York,Bronx County,8,0,0,0,0,0,0,0,0,0,,0,,0,,12,69993,36005002400,89484.19290314468,42021479.544509426,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,,,0.0
Census Tract 25,New York,Bronx County,7,5020,3205,125,0,64,0,0,188,1414,28.2,2184,43.5,1422,28.3,13,69994,36005002500,26308.169404798533,14976220.18495358,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,3205,63.84,228.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,228.93,228.93
Census Tract 27.01,New York,Bronx County,7,2655,1635,0,0,0,18,0,96,897,33.8,1073,40.4,685,25.8,14,69995,36005002701,26308.169404798533,14976220.18495358,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,1635,61.58,116.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,116.79,116.79
Census Tract 27.02,New York,Bronx County,7,4688,2568,154,0,0,0,0,206,1760,37.5,1536,32.8,1392,29.7,15,69996,36005002702,26308.169404798533,14976220.18495358,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,spanish,2568,54.78,183.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,14.0,spanish,183.43,183.43
Census Tract 28,New York,Bronx County,8,5019,1245,26,0,0,0,0,273,3456,68.9,1162,23.2,401,8.0,16,69997,36005002800,89484.19290314468,42021479.544509426,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,spanish,1245,24.81,177.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,7.0,spanish,177.86,177.86
